epoch,box,cls,kpt,Recall,Precision,mAP@50,F1,mAP
176,0.466,0.217,0.108,0.412,0.788,0.466,0.541,0.233
177,0.467,0.223,0.108,0.412,0.789,0.466,0.541,0.234
178,0.484,0.228,0.111,0.412,0.789,0.467,0.541,0.234
179,0.486,0.230,0.111,0.412,0.790,0.467,0.541,0.234
180,0.475,0.221,0.108,0.412,0.790,0.467,0.541,0.234
181,0.477,0.223,0.110,0.412,0.789,0.467,0.541,0.234
182,0.476,0.225,0.110,0.412,0.792,0.468,0.542,0.234
183,0.464,0.224,0.108,0.412,0.790,0.468,0.542,0.235
184,0.476,0.225,0.109,0.412,0.791,0.468,0.542,0.235
185,0.491,0.228,0.112,0.413,0.792,0.469,0.543,0.235
186,0.468,0.220,0.107,0.412,0.793,0.469,0.543,0.235
187,0.458,0.221,0.109,0.412,0.794,0.469,0.543,0.235
188,0.478,0.226,0.110,0.413,0.793,0.470,0.543,0.235
189,0.463,0.219,0.107,0.413,0.793,0.470,0.543,0.236
190,0.452,0.216,0.107,0.414,0.794,0.470,0.544,0.236
191,0.477,0.226,0.110,0.415,0.793,0.471,0.544,0.236
192,0.478,0.221,0.110,0.415,0.794,0.471,0.545,0.236
193,0.470,0.223,0.108,0.415,0.793,0.471,0.545,0.236
194,0.467,0.223,0.109,0.415,0.794,0.472,0.545,0.236
195,0.458,0.217,0.106,0.416,0.795,0.472,0.546,0.237
196,0.458,0.220,0.104,0.416,0.795,0.472,0.546,0.237
197,0.472,0.222,0.107,0.417,0.794,0.472,0.547,0.237
198,0.458,0.217,0.105,0.417,0.793,0.473,0.547,0.237
199,0.473,0.224,0.109,0.417,0.793,0.473,0.547,0.237
200,0.468,0.220,0.109,0.418,0.793,0.473,0.547,0.237
201,0.453,0.216,0.106,0.417,0.796,0.474,0.548,0.237
202,0.484,0.229,0.108,0.418,0.796,0.474,0.548,0.238
203,0.488,0.225,0.111,0.418,0.796,0.474,0.548,0.238
204,0.473,0.222,0.110,0.419,0.795,0.475,0.549,0.238
205,0.462,0.219,0.109,0.420,0.794,0.475,0.549,0.238
206,0.481,0.227,0.110,0.419,0.795,0.475,0.549,0.238
207,0.462,0.222,0.106,0.420,0.794,0.475,0.549,0.239
208,0.488,0.225,0.110,0.419,0.795,0.476,0.549,0.239
209,0.473,0.227,0.108,0.420,0.795,0.476,0.549,0.239
210,0.468,0.221,0.108,0.420,0.795,0.476,0.549,0.239
211,0.468,0.224,0.107,0.420,0.795,0.476,0.549,0.239
212,0.475,0.225,0.109,0.420,0.795,0.476,0.550,0.239
213,0.467,0.222,0.105,0.420,0.796,0.476,0.550,0.239
214,0.460,0.214,0.104,0.421,0.794,0.477,0.550,0.240
215,0.463,0.222,0.108,0.421,0.794,0.477,0.550,0.240
216,0.460,0.220,0.107,0.420,0.796,0.477,0.550,0.240
